,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bluff,41,NZ,1594928227,88,-46.6,168.33,37.8,10.36
1,Klyuchi,58,RU,1594928227,78,52.27,79.17,67.42,12.28
2,Carquefou,20,FR,1594928227,64,47.3,-1.49,71.6,6.93
3,Ushuaia,0,AR,1594928140,90,-54.8,-68.3,33.8,3.36
4,Bredasdorp,0,ZA,1594928089,93,-34.53,20.04,46.4,3.36
5,Thinadhoo,82,MV,1594928228,64,0.53,72.93,84.94,1.79
6,Parabel',2,RU,1594928228,70,58.7,81.48,57.36,4.68
7,Mataura,24,NZ,1594928228,98,-46.19,168.86,28.42,2.08
8,Xining,32,CN,1594927553,79,36.62,101.77,56.35,1.77
9,Ishigaki,67,JP,1594928228,80,24.34,124.16,85.59,21.41
10,San Policarpo,7,PH,1594928228,79,12.18,125.51,82.78,7.47
11,Busselton,74,AU,1594928228,87,-33.65,115.33,52.0,9.17
12,Chongwe,0,ZM,1594928228,58,-15.33,28.68,53.6,8.05
13,New Norfolk,3,AU,1594928229,89,-42.78,147.06,39.99,2.35
14,Bahía Honda,97,CU,1594928229,72,22.9,-83.16,85.3,10.63
15,Kapaa,20,US,1594928229,78,22.08,-159.32,80.6,10.29
16,Jamestown,90,US,1594928229,88,42.1,-79.24,79.0,8.05
17,Isangel,5,VU,1594928229,93,-19.55,169.27,66.2,4.7
18,Fairbanks,90,US,1594928175,87,64.84,-147.72,60.01,2.8
19,Butaritari,98,KI,1594928229,65,3.07,172.79,83.55,10.31
20,Hermanus,0,ZA,1594928229,75,-34.42,19.23,53.01,1.01
21,Robe,10,AU,1594928229,91,-37.18,139.75,47.08,9.44
22,Luangwa,0,ZM,1594928229,58,-15.62,30.42,57.15,3.65
23,São José do Calçado,82,BR,1594928230,83,-21.03,-41.65,64.22,3.38
24,Albany,98,US,1594928116,57,42.6,-73.97,77.0,10.0
25,Rikitea,100,PF,1594928230,81,-23.12,-134.97,73.74,3.38
26,Hithadhoo,43,MV,1594928230,69,-0.6,73.08,84.24,5.35
27,Olafsvik,100,IS,1594928230,77,64.89,-23.71,49.17,26.78
28,Vaini,20,TO,1594928230,88,-21.2,-175.2,73.4,6.93
29,Doha,0,QA,1594928199,56,25.29,51.53,96.8,9.17
30,Lexington,75,US,1594928072,94,37.99,-84.48,84.0,9.17
31,Ayan,98,RU,1594928231,96,56.45,138.17,53.98,7.49
32,Kiama,81,AU,1594928231,75,-34.68,150.87,54.0,11.01
33,Nikolskoye,75,RU,1594928231,67,59.7,30.79,60.8,4.47
34,Barrow,75,US,1594928231,80,71.29,-156.79,35.6,11.41
35,Hobart,40,AU,1594928193,86,-42.88,147.33,39.99,4.38
36,Muravlenko,26,RU,1594928231,70,63.79,74.52,51.4,5.12
37,Mar del Plata,32,AR,1594928231,50,-38.0,-57.56,55.99,13.87
38,Khatanga,100,RU,1594928232,76,71.97,102.5,50.83,15.12
40,Kovdor,1,RU,1594928232,76,67.57,30.48,53.92,4.54
41,Hilo,90,US,1594928232,65,19.73,-155.09,80.6,4.36
42,San Lazaro,40,BZ,1594928232,66,18.04,-88.66,89.6,9.17
43,Lebu,100,CL,1594928232,88,-37.62,-73.65,53.56,17.67
44,Qaanaaq,94,GL,1594928232,77,77.48,-69.36,44.17,5.23
45,Nuuk,20,GL,1594928232,62,64.18,-51.72,59.0,5.82
46,Port Alfred,2,ZA,1594928233,48,-33.59,26.89,57.13,7.27
47,Punta Arenas,75,CL,1594928233,74,-53.15,-70.92,33.8,5.82
48,Puerto Ayora,20,EC,1594928233,69,-0.74,-90.35,75.2,18.34
49,Bonoua,20,CI,1594928233,88,5.27,-3.6,75.2,9.17
50,Castro,0,BR,1594928233,71,-24.79,-50.01,64.51,5.59
51,Bubaque,100,GW,1594928233,85,11.28,-15.83,79.0,18.3
52,Darnah,0,LY,1594928233,78,32.77,22.64,75.22,16.08
53,Samarai,100,PG,1594927384,88,-10.62,150.67,76.48,15.82
54,Rabo de Peixe,75,PT,1594928234,73,37.8,-25.58,69.8,12.75
55,Baghlan,59,AF,1594928234,22,36.13,68.71,87.13,3.53
56,Bonthe,86,SL,1594928234,77,7.53,-12.51,76.44,7.14
57,Lüderitz,0,NA,1594927645,19,-26.65,15.16,71.6,4.7
58,Half Moon Bay,5,US,1594928234,72,37.46,-122.43,75.99,11.41
59,Laas,75,IT,1594928234,67,46.62,10.7,57.2,4.7
60,Kaili,4,ID,1594928234,93,-3.46,120.21,66.52,2.53
61,Port Elizabeth,43,ZA,1594928234,87,-33.92,25.57,46.4,3.36
62,Faanui,100,PF,1594927461,88,-16.48,-151.75,75.74,17.27
63,Yellowknife,75,CA,1594928235,48,62.46,-114.35,66.0,5.82
64,Ilulissat,75,GL,1594927478,70,69.22,-51.1,48.2,5.82
65,Tura,100,IN,1594928235,98,25.52,90.22,75.43,5.57
66,Pinawa,15,CA,1594928235,49,50.15,-95.88,75.38,14.67
67,Cap Malheureux,0,MU,1594927663,77,-19.98,57.61,68.0,5.01
68,Marsaxlokk,0,MT,1594928235,83,35.84,14.54,78.01,9.17
69,Leningradskiy,79,RU,1594928236,90,69.38,178.42,41.36,10.8
70,Cockburn Town,40,TC,1594927552,58,21.46,-71.14,87.8,14.99
71,Escanaba,1,US,1594928236,60,45.75,-87.06,79.0,10.29
72,Thompson,75,CA,1594927415,82,55.74,-97.86,60.8,13.87
73,Wuda,98,CN,1594928236,46,39.5,106.71,74.14,6.55
74,Buraidah,0,SA,1594927484,17,26.33,43.98,100.4,6.93
75,Puerto Madryn,97,AR,1594928015,79,-42.77,-65.04,46.17,11.21
76,Avarua,32,CK,1594928237,73,-21.21,-159.78,71.6,9.17
77,Lensk,100,RU,1594928237,91,60.73,114.93,54.12,4.63
78,Cape Town,0,ZA,1594928002,87,-33.93,18.42,51.8,2.24
79,Pevek,100,RU,1594928237,97,69.7,170.31,41.31,7.29
80,Saint-Philippe,75,RE,1594928237,77,-21.36,55.77,66.2,2.24
81,Alofi,25,NU,1594928237,83,-19.06,-169.92,73.4,8.05
82,Patacamaya,0,BO,1594928237,29,-17.23,-67.92,57.49,2.37
83,Båtsfjord,75,NO,1594928237,87,70.63,29.72,57.2,5.82
84,Palmer,75,US,1594928238,44,42.16,-72.33,80.6,10.29
